


User 2%, System 3%, IOW 0%, IRQ 0%
User 9 + Nice 0 + Sys 11 + Idle 281 + IOW 0 + IRQ 0 + SIRQ 0 = 301

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
   85  1   0% S     1      0K      0K     root     mdp_cursor_ctrl
   86  1   0% S     1      0K      0K     root     hdmi_hdcp
   87  1   0% S     1      0K      0K     root     irq/111-hdmi_ms
   88  1   0% S     1      0K      0K     root     vidc_worker_que
   89  1   0% S     1      0K      0K     root     vidc_timer_wq
   90  1   0% S     1      0K      0K     root     smux_notify_wq
   91  1   0% S     1      0K      0K     root     smux_tx_wq
   92  1   0% S     1      0K      0K     root     smux_rx_wq
   93  1   0% S     1      0K      0K     root     smux_loopback_w
   94  1   0% S     1      0K      0K     root     diag_wq
   95  1   0% S     1      0K      0K     root     diag_cntl_wq
   96  1   0% S     1      0K      0K     root     diag_dci_wq
   97  1   0% S     1      0K      0K     root     diag_bridge_wq
   98  1   0% S     1      0K      0K     root     kgsl-3d0
   99  1   0% S     1      0K      0K     root     anx7808_work
  100  1   0% S     1      0K      0K     root     irq/645-anx7808
  101  1   0% S     1      0K      0K     root     irq/330-wcd9xxx
  104  1   0% S     1      0K      0K     root     usbnet
  107  1   0% S     1      0K      0K     root     mdm_bridge
  108  1   0% S     1      0K      0K     root     k_rmnet_mux_wor
  109  1   0% S     1      0K      0K     root     f_mtp
  110  1   0% S     1      0K      0K     root     file-storage
  111  1   0% S     1      0K      0K     root     uether
  112  1   0% S     1      0K      0K     root     touch_wq
  113  0   0% S     1      0K      0K     root     kworker/0:2
  114  0   0% S     1      0K      0K     root     kworker/0:3
  115  1   0% S     1      0K      0K     root     iewq
  116  1   0% D     1      0K      0K     root     kinteractiveup
  117  1   0% S     1      0K      0K     root     binder
  118  0   0% S     1      0K      0K     root     mmcqd/0
  119  0   0% S     1      0K      0K     root     kworker/u:2
  120  0   0% S     1      0K      0K     root     kworker/u:3
  121  1   0% S     1      0K      0K     root     krfcommd
  122  1   0% S     1      0K      0K     root     msm-cpufreq
  125  1   0% S     1      0K      0K     root     rq_stats
  126  1   0% S     1      0K      0K     root     deferwq
  128  1   0% S     1      0K      0K     root     vibrator
  129  1   0% S     1      0K      0K     root     fsa8008
  130  1   0% S     1      0K      0K     root     irq/369-fsa8008
  131  1   0% S     1      0K      0K     root     irq/371-fsa8008
  132  0   0% S     1    352K    188K     root     /sbin/ueventd
